37955.00,0.01,3.06,0.05,-2.75,-0.01,-0.01,0.01,-17.38,17.73,47.57,0.00,0.00,0.00,0.00
38034.00,0.02,3.11,0.01,-2.81,0.02,0.01,-0.01,-5.34,-3.31,-3.95,0.03,-0.02,-0.03,0.00
38056.00,0.02,3.11,0.01,-2.81,0.02,0.01,-0.01,7.21,-14.84,-26.07,0.03,-0.02,-0.03,-0.00
38077.00,0.02,3.11,0.01,-2.81,0.02,0.01,-0.01,14.72,-19.13,-39.22,0.03,-0.02,-0.03,-0.00
38099.00,0.01,3.07,0.09,-2.84,0.00,0.01,0.00,13.96,-14.68,-35.14,0.01,-0.01,-0.02,-0.00
38120.00,0.01,3.07,0.09,-2.84,0.00,0.01,0.00,9.82,-8.03,-24.07,0.01,-0.01,-0.02,-0.00
38141.00,0.01,3.07,0.09,-2.84,0.00,0.01,0.00,3.31,-1.21,-9.49,0.01,-0.01,-0.02,-0.00
38163.00,0.01,3.07,0.09,-2.84,0.00,0.01,0.00,-1.06,2.20,1.38,0.01,-0.01,-0.02,-0.00
38196.00,-0.00,3.05,0.06,-2.82,-0.01,-0.01,-0.01,-3.32,5.28,10.30,0.00,-0.01,-0.06,-0.00
38218.00,-0.00,3.05,0.06,-2.82,-0.01,-0.01,-0.01,-2.32,4.64,9.11,0.00,-0.01,-0.06,-0.00
38240.00,-0.00,3.05,0.06,-2.82,-0.01,-0.01,-0.01,-0.99,3.36,5.83,0.00,-0.01,-0.06,-0.00
38262.00,-0.01,3.05,0.06,-2.82,-0.01,-0.01,-0.01,0.25,2.97,2.66,0.00,-0.01,-0.06,-0.00
38297.00,-0.00,3.04,0.01,-2.82,0.00,-0.00,-0.00,0.91,1.73,-1.61,0.01,-0.01,-0.06,-0.00
38319.00,-0.00,3.04,0.01,-2.82,0.00,-0.00,-0.00,0.75,1.24,-2.30,0.01,-0.01,-0.06,-0.00
38341.00,-0.00,3.04,0.01,-2.82,0.00,-0.00,-0.00,0.70,0.43,-2.36,0.01,-0.01,-0.06,-0.00
38363.00,-0.01,3.04,0.01,-2.82,0.00,-0.00,-0.00,0.67,-0.12,-2.31,0.01,-0.01,-0.06,-0.00
38394.00,-0.01,3.04,0.01,-2.82,-0.00,0.00,0.00,0.39,0.14,-1.46,0.00,-0.00,-0.00,-0.00
38416.00,-0.01,3.04,0.01,-2.82,-0.00,0.00,0.00,0.29,0.33,-1.10,0.00,-0.00,-0.00,-0.00
38438.00,-0.01,3.04,0.01,-2.82,-0.00,0.00,0.00,-0.01,0.73,-0.77,0.00,-0.00,-0.00,-0.00
38460.00,-0.01,3.04,0.01,-2.82,-0.00,0.00,0.00,-0.24,1.15,-0.24,0.00,-0.00,-0.00,-0.00
